source_id,transit_id,band,time,mag,flux,flux_error,flux_over_error,rejected_by_photometry,rejected_by_variability,other_flags,solution_id
711991473282863616,17956152569504508,G,1721.5677789933015,16.820318288894068,3522.2439453917063,8.452881380534222,416.69153,false,false,1,375316653866487564
711991473282863616,17960244871484433,G,1721.6417915388752,16.95808435334815,3102.5086819233343,22.2324959311057,139.54837,false,false,1,375316653866487564
711991473282863616,17969985595666842,G,1721.817974374667,16.89976529089891,3273.7132070209577,13.491808815059628,242.6445,false,false,65545,375316653866487564
711991473282863616,19723201650799294,G,1753.5267255527644,16.534195173705186,4584.254050004227,12.258836163956108,373.95508,false,false,1,375316653866487564
711991473282863616,21519162761867588,G,1786.0089054731277,16.724672488040284,3846.606415563306,43.67801007600583,88.067345,false,false,4097,375316653866487564
711991473282863616,22455258934682086,G,1802.9391660288475,17.073337653921456,2790.0480662431446,11.653742587780673,239.41219,false,false,1,375316653866487564
711991473282863616,22459351228933490,G,1803.0131788116353,16.614222046236833,4258.512519225767,9.653448079622589,441.139,false,false,1,375316653866487564
711991473282863616,27630077563139750,G,1896.5237947274122,16.787322550542605,3630.9287483563876,11.597772954679687,313.0712,false,false,1,375316653866487564
711991473282863616,27634169915306796,G,1896.5977979639367,16.882091923299498,3327.438041906032,11.963155598617353,278.1405,false,false,1,375316653866487564
711991473282863616,27643910797411674,G,1896.7739170836414,16.902362929440024,3265.8901660337574,17.574916009647392,185.82678,false,false,4194305,375316653866487564
711991473282863616,27648003090989406,G,1896.847919235674,16.86696181724982,3374.131621075544,11.305651057192497,298.44647,false,false,4194305,375316653866487564
711991473282863616,27657743845429831,G,1897.024092226242,16.983260208763,3031.3959309191473,18.220657790229698,166.37138,false,false,4097,375316653866487564
711991473282863616,27661836086322600,G,1897.0980934077866,17.063261409463447,2816.0618106003585,44.31186575407983,63.550964,false,false,4097,375316653866487564
711991473282863616,27924650937852301,G,1901.850635926801,16.937478384003334,3161.9528764490015,25.295782749229577,124.999214,false,false,4097,375316653866487564
711991473282863616,27934391683396694,G,1902.026779587371,16.860353052771135,3394.732246151133,10.358408850282471,327.7272,false,false,1,375316653866487564
711991473282863616,27938483980915451,G,1902.1007813570056,16.580485146684794,4392.913868253356,19.570847424127948,224.46211,false,false,1,375316653866487564
711991473282863616,27948224862250022,G,1902.2769274298223,16.93195421684944,3178.0817184068105,12.644019255053422,251.35059,false,false,1,375316653866487564
711991473282863616,30172191991944780,G,1942.492700569571,16.98720001572513,3020.4158494229764,16.797502985662486,179.81339,false,false,5,375316653866487564
711991473282863616,30176284286825566,G,1942.5666793868893,17.083138872876265,2764.974928452132,13.149944129748816,210.26515,false,false,1,375316653866487564
711991473282863616,32894671178723675,G,1991.72304784737,17.05486417514954,2837.92606460819,13.282440602127622,213.65999,false,false,1,375316653866487564
711991473282863616,32908504146920861,G,1991.9731651676095,16.87650759380258,3344.5963332409965,11.007396744224097,303.84988,false,false,4194305,375316653866487564
711991473282863616,32912596445610946,G,1992.0471673731379,17.03323916029801,2895.0167625953,7.532443663661173,384.33966,false,false,4194305,375316653866487564
711991473282863616,37919264849434444,G,2082.5902160468213,17.05431750936651,2839.3553139005594,13.904954679633608,204.19737,false,false,1,375316653866487564
711991473282863616,37929005818975342,G,2082.7663883631135,16.586098151822103,4370.262121869173,8.042975261884136,543.3639,false,false,1,375316653866487564
711991473282863616,37933098147296387,G,2082.8404010527065,16.772113569364446,3682.1486660297332,16.814206411728644,218.99033,false,false,1,375316653866487564
711991473282863616,37942839011717735,G,2083.0165715176418,17.09645836919384,2731.262230939141,21.017005957971367,129.95486,false,false,4097,375316653866487564
711991473282863616,37946931295343309,G,2083.0905834152477,17.022551002510554,2923.6564982085406,8.64054125828348,338.36496,false,false,1,375316653866487564
711991473282863616,37956672055955828,G,2083.266752066581,16.73865912724049,3797.371581481762,13.168723508459978,288.3629,false,false,1,375316653866487564
711991473282863616,37970504965058984,G,2083.51693024248,16.964826261145326,3083.3032618635575,18.857483583429545,163.50555,false,false,1,375316653866487564
711991473282863616,38288649021837756,G,2089.2708160973075,16.571474965678664,4429.520954818852,9.413733779780543,470.53815,false,false,1,375316653866487564
711991473282863616,38292741279638748,G,2089.344828059757,16.77392616027307,3676.0066021530615,8.481529963419367,433.41315,false,false,1,375316653866487564
711991473282863616,38302482080609611,G,2089.520998704976,17.09041211113344,2746.5145391019414,10.024533473859078,273.97928,false,false,1,375316653866487564
711991473282863616,38306574387425546,G,2089.5950115848755,17.00867946854241,2961.249220467887,15.562574035906415,190.28017,false,false,1,375316653866487564
711991473282863616,38320407666923218,G,2089.8451982720544,16.931234407708025,3180.189385755778,5.409496792299821,587.8901,false,false,1,375316653866487564
711991473282863616,40499272424501406,G,2129.252420071773,17.060068734378618,2824.3548031964856,11.717412478903498,241.03912,false,false,1,375316653866487564
711991473282863616,42557407022966153,G,2166.476152568193,16.726757763848696,3839.2256748599852,11.130780211491807,344.91974,false,false,1,375316653866487564
711991473282863616,42561499346167704,G,2166.5501659830743,16.883973600113265,3321.6762919120756,15.397624728211182,215.72653,false,false,1,375316653866487564
711991473282863616,42571240119342893,G,2166.7263367524424,16.953425150030387,3115.8510378516653,12.988529658332073,239.89252,false,false,1,375316653866487564
711991473282863616,43055324225348667,G,2175.4813973318264,16.964380284306287,3084.570019193161,8.982964038247346,343.37997,false,false,1,375316653866487564
711991473282863616,43059416502163223,G,2175.5554302737387,17.07376949029098,2788.9385843549558,14.298323240187676,195.05354,false,false,5,375316653866487564
